Plot_period;Averaging;Ion_masking;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
;;;30;0.02823383608367804;0.0005838360836780375;0.000596163916321963;2020-11-18 12:03:26.351121;2020-11-18 13:03:26.351121;2020-11-18 14:33:26.351121;2020-11-18 15:33:26.351121;2020-11-18 14:52:00;7314.561155978238;36193.40543323863;28878.844277260392;64.28313217854543;7.001277685161526;9.573489737367684;13148.490886910118;5833.92973093188;-1.0;64.66327374877554;0.0022391226299763077;1.0
;;;31;0.030063607567954984;0.0012336075679549828;0.0012863924320450186;2020-11-18 12:02:46.316769;2020-11-18 13:02:46.316769;2020-11-18 14:32:46.316769;2020-11-18 15:32:46.316769;2020-11-18 14:52:00;5481.3673690385285;21937.28995605469;16455.92258701616;49.89562654461867;6.077810888582134;8.172228953598355;8956.871751433773;3475.5043823952446;-1.0;50.26443408094259;0.0030544889729003455;1.0
;;;32;0.03205213721423269;0.0007021372142326857;0.000717862785767312;2020-11-18 12:02:06.864740;2020-11-18 13:02:06.864740;2020-11-18 14:32:06.864740;2020-11-18 15:32:06.864740;2020-11-18 14:50:00;5793.817694335938;21299.145600585936;15505.327906249999;54.23563179656151;6.084789349675964;6.517834066243859;8170.823287344637;2377.005593008699;-1.0;54.57589594135972;0.003519815657646355;1.0
;;;33;0.0342897594042303;0.0015197594042302975;0.0015902405957697041;2020-11-18 12:01:26.762250;2020-11-18 13:01:26.762250;2020-11-18 14:31:26.762250;2020-11-18 15:31:26.762250;2020-11-18 14:50:00;4216.908642575165;17023.92796223958;12807.019319664416;47.53139983511398;5.6048076588996745;7.424879597111374;7254.095655673923;3037.187013098758;-1.0;47.860712898772555;0.003737068845151602;1.0
;;;34;0.03663211705593877;0.000752117055938771;0.0007678829440612295;2020-11-18 12:00:48.907139;2020-11-18 13:00:48.907139;2020-11-18 14:30:48.907139;2020-11-18 15:30:48.907139;2020-11-18 14:48:00;3399.017778106398;14593.264580965908;11194.24680285951;49.43847324673316;5.488964398893013;5.357630949069142;5750.760859686463;2351.743081580065;-1.0;49.742249317258114;0.0044435548182260665;1.0
;;;35;0.03815243111519894;0.0007524311151989385;0.000767568884801062;2020-11-18 12:00:26.287952;2020-11-18 13:00:26.287952;2020-11-18 14:30:26.287952;2020-11-18 15:30:26.287952;2020-11-18 14:44:00;3118.436905007161;15442.05874565972;12323.621840652559;51.954462800082354;5.237801343216931;6.279615867301551;6566.09455004783;3447.657645040669;1.756785945946754;52.21782040411249;0.00423721378985023;1.0
;;;36;0.040694545088991965;0.001774545088991962;0.0018554549110080323;2020-11-18 11:59:51.437434;2020-11-18 12:59:51.437434;2020-11-18 14:29:51.437434;2020-11-18 15:29:51.437434;2020-11-18 14:44:00;2863.460418865459;10043.596290690104;7180.135871824645;35.840212771938546;4.701829449303782;6.278250407543688;4398.0056612317;1534.5452423662414;-1.0;36.147310435330695;0.005034349082052231;1.0
;;;37;0.0435629429676187;0.0010129429676187032;0.0010370570323813;2020-11-18 11:59:15.972835;2020-11-18 12:59:15.972835;2020-11-18 14:29:15.972835;2020-11-18 15:29:15.972835;2020-11-18 14:46:00;2788.4818215655437;18944.3008828125;16155.819061246955;46.62543045132378;4.9799201525541426;9.980805027778464;4953.845244805196;2165.363423239652;-1.0;46.89062133835556;0.0029023982727581004;1.0
;;;38;0.0456134848482332;0.001013484848233201;0.0010365151517667953;2020-11-18 11:58:52.778668;2020-11-18 12:58:52.778668;2020-11-18 14:28:52.778668;2020-11-18 15:28:52.778668;2020-11-18 14:44:00;2302.700745037862;11818.462275390624;9515.761530352762;47.483328221861136;4.764726161008378;5.79631128958216;4132.733338947088;1830.0325939092259;-1.0;47.72178825666943;0.00501502566078916;1.0
;;;39;0.04863285926202571;0.00198285926202571;0.002067140737974295;2020-11-18 11:58:21.445669;2020-11-18 12:58:21.445669;2020-11-18 14:28:21.445669;2020-11-18 15:28:21.445669;2020-11-18 14:42:00;1755.4575903843995;9379.807604536576;7624.350014152176;35.14198222293577;4.297485925820317;10.510973080153073;3065.0825184993064;1309.6249281149069;-1.0;35.40377522016201;0.004643513893570755;1.0
;;;40;0.05185680283241534;0.0011568028324153365;0.0011831971675846584;2020-11-18 11:57:51.191200;2020-11-18 12:57:51.191200;2020-11-18 14:27:51.191200;2020-11-18 15:27:51.191200;2020-11-18 14:56:00;1367.4124326548126;8230.5194765625;6863.1070439076875;34.210817801116946;4.248252036935993;6.633462819886771;3376.2525410906633;2008.8401084358507;1.9416229537371847;34.4735797385556;0.00502302812968034;1.0
;;;41;0.05417779618995221;0.0011377961899522102;0.0011622038100477933;2020-11-18 11:57:31.181221;2020-11-18 12:57:31.181221;2020-11-18 14:27:31.181221;2020-11-18 15:27:31.181221;2020-11-18 14:40:00;1885.2835949609791;5758.397486239346;3873.113891278367;31.783108541421015;4.112481119749232;3.6726387892578973;2561.0852671046396;675.8016721436604;-1.0;32.048065300670544;0.008274495974114693;1.0
;;;42;0.05772366412486304;0.002383664124863037;0.002486335875136962;2020-11-18 11:57:03.088741;2020-11-18 12:57:03.088741;2020-11-18 14:27:03.088741;2020-11-18 15:27:03.088741;2020-11-18 14:42:00;1444.712709830976;3858.990435014204;2414.277725183228;32.09518559613552;4.091617227984131;2.8445690735484477;2139.475317720077;694.7626078891008;-1.0;32.3549419716791;0.0134014996013864;1.0
;;;43;0.06145708502687058;0.0012470850268705772;0.0012729149731294173;2020-11-18 11:56:36.314479;2020-11-18 12:56:36.314479;2020-11-18 14:26:36.314479;2020-11-18 15:26:36.314479;2020-11-18 14:38:00;1463.3929903215092;4467.637358940971;3004.244368619462;32.77999948179787;3.9084362016347782;4.781037431277552;1857.6474819319492;394.25449161044;-1.0;33.01218319906937;0.010988514630798637;1.0
;;;44;0.06557546416152919;0.0028454641615291987;0.002974535838470807;2020-11-18 11:56:09.619186;2020-11-18 12:56:09.619186;2020-11-18 14:26:09.619186;2020-11-18 15:26:09.619186;2020-11-18 14:52:00;1123.3157613636363;3672.670749240451;2549.354987876815;26.79409009792279;3.4036739841142674;4.784734903018751;1606.2174780645403;482.901716700904;-1.0;27.0094105964151;0.010594605586454404;1.0
;;;45;0.07008775213972838;0.001537752139728385;0.0015722478602716167;2020-11-18 11:55:43.273020;2020-11-18 12:55:43.273020;2020-11-18 14:25:43.273020;2020-11-18 15:25:43.273020;2020-11-18 14:40:00;1008.7202829519152;3079.440049715909;2070.719766763994;30.087142018617417;3.4741639288985176;2.7781341692953454;1186.4398191544349;177.71953620251963;-1.0;30.28705878511998;0.01462634358894971;1.0
;;;46;0.07323274131151995;0.0015727413115199512;0.001607258688480051;2020-11-18 11:55:26.457768;2020-11-18 12:55:26.457768;2020-11-18 14:25:26.457768;2020-11-18 15:25:26.457768;2020-11-18 14:36:00;1115.822762735674;3885.71397265625;2769.8912099205763;27.490944967494325;3.8271935807796558;4.339200832705219;1252.7467553889724;136.92399265329846;-1.0;27.756070793802255;0.010020635718251956;1.0
;;;47;0.07803193192533427;0.0031919319253342626;0.0033280680746657354;2020-11-18 11:55:02.912573;2020-11-18 12:55:02.912573;2020-11-18 14:25:02.912573;2020-11-18 15:25:02.912573;2020-11-18 15:20:00;1140.7113279872526;2896.4300337357954;1755.7187057485428;25.22418272163364;3.7719905642646316;3.21315029115131;1517.5931679687496;376.881839981497;-1.0;25.504652649884537;0.014526616687728883;1.0
