;Plot_period;Averaging;Ion_masking;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_electron_uncertainty;Bg_electron_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan;Ion_contamination_correction
22;;;;0.0228243028371076;0.0005043028371076;0.0005156971628923;2020-11-18 11:58:44.963376;2020-11-18 12:58:44.963376;2020-11-18 13:28:44.963376;2020-11-18 14:28:44.963376;2020-11-18 13:55:00;15609.9875335674;129259.52771875;113649.5401851826;58.7253863990763;9.459758673913504;38.71689614506639;43418.76596429088;27808.778430723483;9.473593862932823;59.4824179223533;0.0005233845893738;1.0;
23;;;;0.0238249616998642;0.0004849616998642;0.0004950383001357;2020-11-18 11:58:10.705702;2020-11-18 12:58:10.705702;2020-11-18 13:28:10.705702;2020-11-18 14:28:10.705702;2020-11-18 13:55:00;13205.28063125846;121172.11183593748;107966.83120467902;57.7663206668806;8.868677329124237;37.85675332082632;40431.10422490496;27225.8235936465;9.546277094926364;58.44314537186546;0.0005413064801454;1.0;
24;;;;0.0254057631257161;0.0010857631257161;0.0011342368742838;2020-11-18 11:57:20.861137;2020-11-18 12:57:20.861137;2020-11-18 13:27:20.861137;2020-11-18 14:27:20.861137;2020-11-18 13:50:00;10267.517348698624;74234.046046875;63966.52869817637;43.32670566005945;7.591459943746749;23.070711159245707;27481.179298816405;17213.66195011778;6.208425420705804;43.9867444513792;0.0006876525168174;1.0;
25;;;;0.0270893152368235;0.0005493152368235;0.0005606847631764;2020-11-18 11:56:32.763008;2020-11-18 12:56:32.763008;2020-11-18 13:26:32.763008;2020-11-18 14:26:32.763008;2020-11-18 13:55:00;7254.575301125252;54922.881367187496;47668.30606606224;45.78212177487133;7.164113553601813;19.79425669674584;22954.896739064046;15700.321437938794;6.519556040722021;46.33926194079971;0.000972118914328;1.0;
26;;;;0.028233836083678;0.000583836083678;0.0005961639163219;2020-11-18 11:56:02.612356;2020-11-18 12:56:02.612356;2020-11-18 13:26:02.612356;2020-11-18 14:26:02.612356;2020-11-18 13:50:00;7454.81084241078;60115.40260546875;52660.59176305797;48.82008828149858;7.030619916591056;29.96242984810469;20386.325968349207;12931.515125938426;7.357676809519682;49.32373299158207;0.0009366346130994;1.0;
27;;;;0.0300636075679549;0.0012336075679549;0.001286392432045;2020-11-18 11:55:18.129744;2020-11-18 12:55:18.129744;2020-11-18 13:25:18.129744;2020-11-18 14:25:18.129744;2020-11-18 13:50:00;5522.740677273409;35843.43060644531;30320.689929171906;35.44599680935438;6.098300929552284;24.77012434356642;14476.413057287658;8953.67238001425;7.314595370441377;35.96676193426563;0.0011862118579188;1.0;
28;;;;0.0320521372142326;0.0007021372142326;0.0007178627857673;2020-11-18 11:54:34.294155;2020-11-18 12:54:34.294155;2020-11-18 13:24:34.294155;2020-11-18 14:24:34.294155;2020-11-18 13:45:00;5546.49004047047;27386.857113281247;21840.36707281077;35.37598243592632;6.027738760309725;21.298309789876267;11774.254000385292;6227.7639599148215;6.073196740434731;35.885843558003586;0.0016430970889073;1.0;
29;;;;0.0342897594042303;0.0015197594042302;0.0015902405957697;2020-11-18 11:53:49.735834;2020-11-18 12:53:49.735834;2020-11-18 13:23:49.735834;2020-11-18 14:23:49.735834;2020-11-18 13:45:00;4132.045727354788;21353.838778645837;17221.793051291046;28.969529441837835;5.603702583372132;13.715880188954658;9160.970780206955;5028.925052852167;4.005165623505268;29.506526714006863;0.0017133248916723;1.0;
30;;;;0.0366321170559387;0.0007521170559387;0.0007678829440612;2020-11-18 11:53:07.674599;2020-11-18 12:53:07.674599;2020-11-18 13:23:07.674599;2020-11-18 14:23:07.674599;2020-11-18 13:40:00;3434.659017196897;16272.3652597993;12837.706242602402;30.75159403905125;5.510806120627684;8.632259631968408;8203.5097884817;4768.850771284804;3.2066443355147407;31.2414711568095;0.0024335711198261;1.0;
31;;;;0.0381524311151989;0.0007524311151989;0.000767568884801;2020-11-18 11:52:42.542168;2020-11-18 12:52:42.542168;2020-11-18 13:22:42.542168;2020-11-18 14:22:42.542168;2020-11-18 13:45:00;2880.280831737008;18866.828566196986;15986.54773445998;30.95794537946019;5.172388931814775;12.572933499936465;7028.704139830443;4148.423308093436;3.2626087413366784;31.387067231259447;0.0019633424146729;1.0;
